SINGLE/CLUMP,Photos date,IPAM date,microPAM Date,Species,Crosstype,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Tank,Cassette,Plate.Slide,Well,Mom,Dad,Family,Genetic,Recruit,Survival T6,F microPAM,Fm' microPAM,YII_micro,F (IPAM),Fm' (IPAM),Y(II) (IPAM),IndID,Cone,popcross
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,262,2969,B,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,3,0,0.0108,0.0211,0,0.0201,0.0377,0,14.262.2969.3,C69,SWIxSWI
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,262,1480,D,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1,1,0.0059,0.0093,0,0.0221,0.0475,0.536,14.262.1480.1,C85,JEWxJEW
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,262,1271,C,Palms4,Davies1,Palms4xDavies1,T.F36,2,1,0.0054,0.0093,0,0.0549,0.1196,0.541,14.262.1271.2,C81,PALxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,262,2904,C,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,2,1,0.0049,0.0083,0,0.0275,0.0539,0.491,14.262.2904.2,C80,SWIxSWI
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,262,1917,C,Jewell8,Palms4,Jewell8xPalms4,T.F47,2,1,0.0069,0.0118,0,0.0245,0.0402,0,14.262.1917.2,C59,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,316,1523,A,Jewell6,Palms4,Jewell6xPalms4,T.F43,2,1,0.0088,0.0176,0,0.0333,0.0593,0.438,14.316.1523.2,C39,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,316,3149,A,Jewell5,Palms5,Jewell5xPalms5,T.F51,1,0,0.0078,0.0127,0,0.0368,0.0647,0.432,14.316.3149.1,C64,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,316,1665,D,Jewell7,Davies1,Jewell7xDavies1,T.F62,1,1,0.0142,0.0333,0,0.074,0.1574,0.53,14.316.1665.1,C38,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,499,1479,D,Davies13,Davies1,Davies13xDavies1,T.F66,1,0,0.0078,0.0137,0,0.0373,0.0735,0.493,14.499.1479.1,C102,DAVxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,499,1913,B,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,0.0103,0.0211,0,0.0451,0.0917,0.508,14.499.1913.1,C55,JEWxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,499,2780,C,Jewell8,Davies13,Jewell8xDavies13,T.F65,3,1,0.0059,0.0093,0,0.026,0.0515,0.495,14.499.2780.3,C62,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,499,1442,D,Jewell2,Palms1,Jewell2xPalms1,T.F39,2*,1,0.0054,0.0083,0,0.0343,0.0833,0.588,14.499.1442.2*,C30,JEWxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,499,1531,C,Switzer2,Davies6,Switzer2xDavies6,T.F28,4*,1,0.0137,0.0275,0,0.026,0.0529,0.509,14.499.1531.4*,C98,SWIxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,346,1660,A,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,1,1,0.0118,0.0225,0,0.0441,0.0775,0.43,14.346.1660.1,C69,SWIxSWI
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,346,1950,A,Jewell8,Palms5,Jewell8xPalms5,T.F53,2*,0,0.0064,0.0123,0,0.0539,0.1098,0.509,14.346.1950.2*,C29,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,346,1924,A,Jewell3,Palms1,Jewell3xPalms1,T.F40,1*,0,0.0054,0.0103,0,0.0328,0.0578,0.432,14.346.1924.1*,C60,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,346,2992,A,Switzer4,Davies8,Switzer4xDavies8,T.F31,2*,0,0.0078,0.0152,0,0.0328,0.0672,0.511,14.346.2992.2*,C72,SWIxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,346,1962,A,Palms5,Palms4,Palms5xPalms4,T.F34,1,0,0.0235,0.052,0.547,0.0328,0.0672,0.511,14.346.1962.1,C79,PALxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,300,1269,B,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,2,1,0.0074,0.0137,0,0.0309,0.0642,0.519,14.300.1269.2,C93,SWIxSWI
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,300,1939,D,Jewell6,Palms1,Jewell6xPalms1,T.F38,2,0,0.0078,0.0147,0,0.0284,0.0549,0.482,14.300.1939.2,C31,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,300,2362,B,Parke5,Davies6,Parke5xDavies6,T.F22,1,1,0.0152,0.0309,0,0.0461,0.0926,0.503,14.300.2362.1,C78,PARxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,300,2773,B,Jewell8,Davies6,Jewell8xDavies6,T.F18,1,1,0.0078,0.0132,0,0.0279,0.0495,0.436,14.300.2773.1,C87,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,300,2949,B,Parke4,Parke2,Parke4xParke2,T.F5,2,0,0.0049,0.0074,0,0.0603,0.1279,0.529,14.300.2949.2,C76,PARxPAR
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,494,1257,A,Jewell8,Davies1,Jewell8xDavies1,T.F64,1,0,0.0054,0.0098,0,0.0245,0.0431,0,14.494.1257.1,C65,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,494,2881,D,Parke2,Parke5,Parke2xParke5,T.F8,5,0,0.0044,0.0074,0,0.0196,0.0284,0,14.494.2881.5,C90,PARxPAR
C,19.04.21,12.04.21,15.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,494,2711,B,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,2,0,0.0054,0.0083,0,0.0348,0.0711,0.51,14.494.2711.2,C3,PARxPAR
S,19.04.21,12.04.21,15.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,494,2332,B,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,2,0,0.0108,0.0216,0,0.023,0.0544,0.577,14.494.2332.2,C5,PARxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,494,2714,D,Parke5,Parke4,Parke5xParke4,T.F6,5,1,0.0069,0.0118,0,0.0167,0.0225,0,14.494.2714.5,C83,PARxPAR
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,296,1510,A,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,0,0.0044,0.0069,0,0.0206,0.0314,0,14.296.1510.1,C101,JEWxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,296,2903,C,Davies8,Davies10,Davies8xDavies10,T.F15,4*,0,0.0186,0.0407,0,0.0181,0.0319,0,14.296.2903.4*,C91,DAVxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,296,1422,B,Jewell8,Jewell3,Jewell8xJewell3,T.F68,2,0,0.0049,0.0074,0,0.023,0.0431,0,14.296.1422.2,C100,JEWxJEW
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,296,1465,B,Jewell8,Jewell2,Jewell8xJewell2,T.F1,2,0,0.051,0.1255,0.594,0.1353,0.2917,0.536,14.296.1465.2,C74,JEWxJEW
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,JEWELL,14,296,1925,B,Palms4,Palms2,Palms4xPalms2,T.F33,2,0,0.0142,0.0294,0,0.0162,0.0304,0,14.296.1925.2,C94,PALxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,453,1641,C,Jewell7,Davies1,Jewell7xDavies1,T.F62,3,1,0.2059,0.2338,0.119,0.1971,0.2711,0.273,15.453.1641.3,C38,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,453,1694,C,Switzer2,Davies1,Switzer2xDavies1,T.F26,3,1,0.027,0.052,0.481,0.0412,0.0775,0.468,15.453.1694.3,C96,SWIxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,453,1697,C,Switzer2,Davies6,Switzer2xDavies6,T.F28,1,1,0.0069,0.0123,0,0.0348,0.0588,0.408,15.453.1697.1,C98,SWIxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,453,1972,C,Jewell8,Palms4,Jewell8xPalms4,T.F47,4,0,0.0044,0.0069,0,0.0294,0.0598,0.508,15.453.1972.4,C59,JEWxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,453,2953,B,Palms2,Davies1,Palms2xDavies1,T.F37,2,0,0.0049,0.0083,0,0.027,0.048,0.439,15.453.2953.2,C84,PALxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,359,1909,B,Jewell8,Palms1,Jewell8xPalms1,T.F42,3,1,0.1907,0.2279,0.163,0.2412,0.3833,0.371,15.359.1909.3,C55,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,359,2855,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,1,1,0.2034,0.2608,0.22,0.1608,0.2946,0.454,15.359.2855.1,C3,PARxPAR
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,359,1989,D,Palms4,Palms2,Palms4xPalms2,T.F33,5,1,0.0137,0.027,0,0.1039,0.2387,0.565,15.359.1989.5,C94,PALxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,359,2383,B,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,4,1,0.1647,0.2093,0.213,0.2549,0.5142,0.504,15.359.2383.4,C13,PALxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,359,1474,B,Davies13,Davies1,Davies13xDavies1,T.F66,2,1,0.1412,0.1775,0.204,0.1113,0.1696,0.344,15.359.1474.2,C102,DAVxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,345,3103,B,Jewell2,Davies8,Jewell2xDavies8,T.F20,1,1,0.0142,0.0289,0,0.026,0.0461,0,15.345.3103.1,C77,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,345,2887,A,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,1,1,0.0118,0.0235,0,0.1162,0.274,0.576,15.345.2887.1,C7,SWIxSWI
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,345,1451,A,Jewell8,Jewell3,Jewell8xJewell3,T.F68,2,1,0.0103,0.0181,0,0.1118,0.2574,0.566,15.345.1451.2,C100,JEWxJEW
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,345,1464,A,Jewell8,Jewell2,Jewell8xJewell2,T.F1,1,1,0.0083,0.0137,0,0.051,0.1206,0.577,15.345.1464.1,C74,JEWxJEW
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,345,2824,D,Davies6,Davies1,Davies6xDavies1,T.F13,3,1,0.0985,0.1176,0.163,0.151,0.2922,0.483,15.345.2824.3,C75,DAVxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,284,1557,D,Jewell6,Palms4,Jewell6xPalms4,T.F43,2,1,0.0108,0.0191,0,0.0348,0.0681,0.489,15.284.1557.2,C39,JEWxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,284,2923,B,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,5,1,0.0113,0.0225,0,0.0574,0.125,0.541,15.284.2923.5,C69,SWIxSWI
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,284,1543,C,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,0.0034,0.0064,0,0.0176,0.0284,0,15.284.1543.1,C101,JEWxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,284,1569,C,Palms2,Palms5,Palms2xPalms5,T.F35,2,0,0.0049,0.0078,0,0.0176,0.0284,0,15.284.1569.2,C86,PALxPAL
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,284,2962,A,Switzer4,Davies8,Switzer4xDavies8,T.F31,1,1,0.0039,0.0069,0,0.025,0.0397,0,15.284.2962.1,C72,SWIxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,435,3150,B,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.2343,0.2711,0.136,0.1956,0.2441,0.199,15.435.3150.1,C71,JEWxDAV
S,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,435,2808,C,Switzer7,Davies10,Switzer7xDavies10,T.F32,3,1,0.1569,0.1833,0.144,0.1377,0.1833,0.249,15.435.2808.3,C67,SWIxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,435,1920,A,Palms5,Palms4,Palms5xPalms4,T.F34,1,1,0.0059,0.0103,0,0.0554,0.1221,0.546,15.435.1920.1,C79,PALxPAL
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,435,2971,D,Jewell8,Davies6,Jewell8xDavies6,T.F18,4,1,0.0216,0.0441,0,0.0515,0.1142,0.549,15.435.2971.4,C87,JEWxDAV
C,19.04.21,12.04.21,15.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,435,2841,A,Parke2,Parke5,Parke2xParke5,T.F8,1,1,0.0132,0.023,0,0.0176,0.0377,0,15.435.2841.1,C90,PARxPAR
S,19.04.21,12.04.21,16.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,498,2876,C,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,4,1,0.0225,0.0466,0,0.1157,0.4074,0.716,15.498.2876.4,C5,PARxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,498,2380,A,Parke5,Parke4,Parke5xParke4,T.F6,2,1,0.0201,0.0363,0,0.0603,0.1985,0.696,15.498.2380.2,C83,PARxPAR
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,498,2329,B,Parke4,Parke2,Parke4xParke2,T.F5,2,1,0.1127,0.1377,0.181,0.1662,0.3353,0.504,15.498.2329.2,C76,PARxPAR
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,498,1272,D,Jewell8,Davies1,Jewell8xDavies1,T.F64,6,1,0.1936,0.2343,0.174,0.2039,0.3574,0.429,15.498.1272.6,C65,JEWxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,498,1217,C,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,2,1,0.0078,0.0147,0,0.0279,0.0686,0.593,15.498.1217.2,C1,JEWxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,423,2730,A,Davies1,Davies8,Davies1xDavies8,T.F16,1,1,0.0294,0.0544,0.459,0.0789,0.1961,0.598,15.423.2730.1,C82,DAVxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,423,1216,C,Jewell2,Palms1,Jewell2xPalms1,T.F39,4*,0,0.0701,0.1113,0.37,0.1662,0.3907,0.575,15.423.1216.4*,C30,JEWxPAL
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,423,1201,D,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,2,1,0.0157,0.0328,0,0.0456,0.0975,0.533,15.423.1201.2,C80,SWIxSWI
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,423,2999,B,Parke5,Davies6,Parke5xDavies6,T.F22,5,1,0.0186,0.0353,0,0.0456,0.0319,0.0975,15.423.2999.5,C78,PARxDAV
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,423,1242,B,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,5,1,0.125,0.1696,0.263,0.1706,0.2294,0.256,15.423.1242.5,C93,SWIxSWI
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,292,1428,C,Jewell8,Jewell2,Jewell8xJewell2,T.F1,4,1,0.0201,0.0402,0,0.0412,0.0907,0.546,15.292.1428.4,C74,JEWxJEW
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,292,1941,A,Jewell8,Palms5,Jewell8xPalms5,T.F53,3,1,0.0064,0.0118,0,0.0358,0.0672,0.467,15.292.1941.3,C29,JEWxPAL
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,292,1414,D,Jewell6,Palms1,Jewell6xPalms1,T.F38,1,1,0.1123,0.1289,0.129,0.1451,0.1902,0.237,15.292.1414.1,C31,JEWxPAL
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,292,2358,A,Davies8,Davies10,Davies8xDavies10,T.F15,1,1,0.1397,0.1549,0.098,0.1191,0.1652,0.279,15.292.2358.1,C91,DAVxDAV
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,292,2746,A,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,0.2196,0.2422,0.093,0.4843,0.5505,0.12,15.292.2746.1,C81,PALxDAV
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,443,3196,B,Jewell5,Palms5,Jewell5xPalms5,T.F51,1,1,0.0103,0.0137,0,0.0255,0.0647,0.606,15.443.3196.1,C64,JEWxPAL
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,443,1640,A,Jewell2,Palms4,Jewell2xPalms4,T.F44,1,1,0.0407,0.1025,0.603,0.0961,0.2422,0.603,15.443.1640.1,C56,JEWxPAL
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,443,2850,C,Switzer6,Davies1,Switzer6xDavies1,T.F29,4,1,0.1995,0.227,0.121,0.298,0.3348,0.11,15.443.2850.4,C68,SWIxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,443,1405,A,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1,1,0.1436,0.2132,0.326,0.1299,0.227,0.428,15.443.1405.1,C85,JEWxJEW
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,443,1671,C,Jewell5,Palms4,Jewell5xPalms4,T.F45,2,1,0.0157,0.0333,0,0.0588,0.1324,0.556,15.443.1671.2,C34,JEWxPAL
S,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,429,2764,B,Parke4,Davies1,Parke4xDavies1,T.F21,4,1,0.0368,0.0971,0.621,0.0966,0.2304,0.581,15.429.2764.4,C66,PARxDAV
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,429,1954,D,Jewell3,Palms1,Jewell3xPalms1,T.F40,6,1,0.0377,0.0627,0.398,0.0706,0.1716,0.589,15.429.1954.6,C60,JEWxPAL
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,429,2701,C,Parke5,Davies10,Parke5xDavies10,T.F23,3,1,0.0132,0.0275,0,0.0245,0.0422,0,15.429.2701.3,C88,PARxDAV
S,19.04.21,12.04.21,16.04.21,A.ten,BulkCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,429,2954,B,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,6,1,0.0044,0.0074,0,0.0412,0.0873,0.528,15.429.2954.6,C9,SWIxDAV
C,19.04.21,12.04.21,16.04.21,A.ten,IndivCross,Juvenile,2021,T6,27.5c,AMB,JEWELL,15,429,2347,B,Jewell8,Davies13,Jewell8xDavies13,T.F65,3,1,0.0093,0.0172,0,0.026,0.0373,0,15.429.2347.3,C62,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,500,3141,A,Jewell5,Palms5,Jewell5xPalms5,T.F51,1,1,0.1833,0.2583,0.29,0.2985,0.5157,0.421,16.500.3141.1,C64,JEWxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,500,1236,C,Switzer4,Davies8,Switzer4xDavies8,T.F31,5,1,0.1363,0.2255,0.396,0.2358,0.5108,0.538,16.500.1236.5,C72,SWIxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,500,2765,B,Davies1,Davies8,Davies1xDavies8,T.F16,3,1,0.1382,0.2029,0.319,0.1917,0.3706,0.483,16.500.2765.3,C82,DAVxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,500,1911,C,Palms4,Palms2,Palms4xPalms2,T.F33,2,1,0.1319,0.2265,0.418,0.1034,0.2123,0.513,16.500.1911.2,C94,PALxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,500,2948,A,Switzer6,Davies1,Switzer6xDavies1,T.F29,1,1,0.1765,0.2691,0.344,0.1475,0.2765,0.466,16.500.2948.1,C68,SWIxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,SS,16,329,2799,A,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,1,1,0.0525,0.0824,0.363,0.048,0.1054,0.544,16.329.2799.1,C1,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,329,1967,C,Jewell8,Palms5,Jewell8xPalms5,T.F53,3,1,0.1088,0.1725,0.369,0.127,0.2235,0.432,16.329.1967.3,C29,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,329,1971,B,Jewell3,Palms1,Jewell3xPalms1,T.F40,3,1,0.1887,0.299,0.369,0.4152,0.5647,0.265,16.329.1971.3,C60,JEWxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,329,1553,C,Palms2,Palms5,Palms2xPalms5,T.F35,2,1,0.0971,0.1917,0.494,0.1515,0.327,0.537,16.329.1553.2,C86,PALxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,329,2734,D,Davies13,Davies1,Davies13xDavies1,T.F66,1,1,0.1211,0.1975,0.387,0.1083,0.2083,0.48,16.329.2734.1,C102,DAVxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,360,1567,C,Jewell5,Palms4,Jewell5xPalms4,T.F45,2*,0,0.0216,0.0397,0,0.0701,0.1436,0.512,16.360.1567.2*,C34,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,360,1528,A,Jewell6,Palms4,Jewell6xPalms4,T.F43,1,1,0.1995,0.3314,0.398,0.0931,0.1877,0.504,16.360.1528.1,C39,JEWxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,16,360,3142,A,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.1672,0.2931,0.43,0.1608,0.2956,0.456,16.360.3142.1,C71,JEWxDAV
